title,sinopse,produção,genero,data-lancamento,image
Divã a 2,"
",Total Entertainment,Comédia,14/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Poster%20DIVA%20a%202.jpg?itok=ktl8rXGA
Cauby - Começaria tudo outra vez ,"A trajetória de Cauby começa nos anos 60 e passa por diversas fases que se renovam através da arte, como por exemplo, sua ida para o exterior; a volta ao Brasil; e inúmeras situações que fazem de Cauby um artista cultuado indistintamente por várias gerações. Com um timbre invejável e uma voz impecável, Cauby construiu uma figura estética emblemática e única, interpretando desde samba a MPB, de bossa nova a rock. É considerado o maior cantor do Brasil por artistas como Agnaldo Rayol e Elis Regina.",Comalt,Documentário,28/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz%20Cauby%202015.jpg?itok=oaSVZ7sQ
O vendedor de passados ,"
",Conspiração Filmes,Drama,21/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/PosterCinema%20Vendedor.jpg?itok=PnM5M5BM
O Amuleto,"Um grupo de jovens se perde em uma mata fechada e, após certo tempo, dois dos desaparecidos são encontrados mortos, o que gera tensão e medo nos sobreviventes.",Buda Filmes,Suspense,28/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/POSTER_OAMULETO.jpg?itok=84cMusK8
Romance Policial ,"Antônio viaja para o Deserto do Atacama em busca de inspiração para escrever um novo romance. Na árida paisagem de vulcões, ele se envolve com uma jovem misteriosa que o conduz a mergulhar em um enigma local.",Deserto Filmes,Drama,04/06/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/romance%20policial.jpg?itok=rLMoR1bt
Território do brincar,"O documentário propõe um passeio pela geografia de gestos infantis que habitam brincadeiras de diversas regiões brasileiras. Gestos que contam histórias, revelam narrativas, constroem uma linguagem própria do brincar e nos apresentam a nós mesmos. Durante dois anos, o casal de documentaristas Renata Meirelles e David Reeks, viajaram pelo Brasil registrando o brincar universal de meninos e meninas de diferentes realidades.
",Maria Farinha Filmes e Ludus Vídeos,Documentário,28/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/territorio.jpg?itok=HgDLWcKQ
Permanência ,"O filme conta a história de Ivo, um fotógrafo do Recife que vai fazer uma exposição em São Paulo e se hospeda na casa da ex-companheira Rita, hoje casada com outra pessoa e com a vida estabilizada. O longa aborda o reencontro dos dois e os efeitos desse encontro. ",Cinemascópio e Trincheira,Ficção,28/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Permanencia_cartaz_alta.jpg?itok=dMhAvR5J
O segredo dos diamantes,"Angelo é um garoto de 14 anos que descobre uma antiga lenda sobre diamantes perdidos e parte em busca desse tesouro para salvar a vida do pai. Para isso, ele e seus amigos Júlia e Carlinhos terão que decifrar o enigma e vencer a perseguição do vilão Silvério, que também sabe do tesouro e não vai desistir até encontrá-lo.",Quimera Filmes,Aventura,18/12/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.O%20Segredo%20dos%20Diamantes.jpg?itok=Wj-A45mm
A noite da virada,"Ana quer dar a festa de ano novo perfeita. Duda quer dar o fora em Ana. Sofia quer dar a volta por cima e desencalhar ainda este ano. Alê só quer dar. Paulo quer acertar as contas com Rica. Mário só aceitou passar na festa por educação. Rosa, esposa de Mário, só quer que a noite acabe logo... Tudo pode acontecer na noite de Réveillon. E eles estão prontos para tudo, menos para o que realmente acontece.",O2 Filmes,Comédia,18/12/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.A_Noite_da_Virada.jpg?itok=PwUFqwD1
Loucas pra casar,"Malu, Lúcia e Maria encontraram o homem ideal e planejam se casar – até que descobrem que esse homem, na verdade, é o mesmo: Samuel, que vinha mantendo um namoro com todas elas nos últimos anos. As três terão que decidir se vão disputar entre si pela exclusividade ou unir-se pela vingança.",Glaz Entretenimento,Comédia,08/01/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Loucas%20pra%20casar-WEB.jpg?itok=U8FjMDd1
Os caras de pau,"Pedrão e Jorginho são dois seguranças encarregados de proteger o anel mais valioso do mundo. Quando a joia é roubada, eles são acusados do crime e têm de lutar para provar sua inocência. ",Casé Filmes,Comédia,25/12/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.Os%20Caras%20de%20Pau.jpg?itok=QtGLgyTu
Depois da chuva,"Salvador, Bahia, 1984. Após vinte anos de ditadura, a população vai às ruas exigir a volta das eleições diretas para Presidente da República. Esse será um ano de transformação para o jovem Caio.",Coisa de Cinema,Drama,15/01/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Depois%20da%20chuva.jpg?itok=GRIVHt7X
Tudo que Deus criou,"Um órfão, uma senhora cega e toda a responsabilidade em assumir uma família jogada sobre os ombros de um jovem de 23 anos, que passa por um conflito de identidade. O que será que Deus criou pensando em cada um deles?",Adriano Lírio,Drama,22/01/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Tudo%20que%20Deus%20Criou.jpg?itok=MDccm8pC
"Amor, plástico e barulho","Shelly e Jaqueline, inseridas no universo do show business, entre nightclubs e programas de TV, descobrem que tudo é; descartável, como o sucesso, o amor e as demais relações humanas. Juntas, parecem formar uma única trajetória de vida, onde Shelly representa o passado de Jaqueline, enquanto esta figura como o provável futuro da colega.",Aroma Filmes / Boulevard Filmes,Drama,22/01/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Amor%2C%20Pl%C3%A1stico%20e%20Barulho.jpg?itok=NPCGrOwy
Surfar é coisa de Rico,"O longa mostra a trajetória de Rico de Souza, surfista pioneiro, que para viver do próprio sonho dedicou-se a criar no País o mercado no qual queria trabalhar.",Sentimental Filme,Documentário,29/01/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/surfar-e-coisa-de-rico.jpg?itok=PKBZAAgU
Cássia Eller,"Um retrato inédito de uma das mais influentes intérpretes brasileiras dos últimos tempos. Repleto de imagens de arquivo e entrevistas, o filme reconstrói a trajetória de Cássia Eller desde seu surgimento na cena musical no final dos anos 80, até a sua morte precoce no réveillon de 2001.",Migdal Filmes,Documentário,29/01/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cassia-WEB.jpg?itok=S-NSpnBd
Vai-vai – 80 anos nas ruas,"O documentário conta a história do inicio do samba na região do Bixiga, centro de São Paulo - permeado pela história da Escola de Samba Vai-Vai.",MA7 Filmes e Consulado,Documentário,26/02/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/vai%20vai.jpg?itok=gW7_UONT
Superpai,"Casado há dez anos com Mariana, Diogo mal pode esperar para rever a turma da escola, que neste ano completa 20 anos de formatura. Mas antes ele terá que lidar com a mulher e ainda resgatar seu filho, o pequeno Luca, esquecido num ""espaço infantil"" a caminho da festa.",Querosene Filmes,Comédia,26/02/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/superpai%20-%20web.jpg?itok=lN38B90I
Sabotage – O Maestro do Canão,"Sabotage discute a infância, o ócio, a rua, a desigualdade, o descaso, a solidariedade, o passado e o futuro. Depoimentos de diversos músicos e pessoas ligadas a ele demonstram a importância desse artista que misturou estilos e se tornou uma lenda após sua morte.",13 Produções e Elixir Entretenimento,Documentário,05/03/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/sabotage%20web.jpg?itok=Qtu6tdbJ
A história da eternidade,"Em um pequeno vilarejo no Sertão, três histórias de amor e desejo revolucionam a paisagem afetiva de seus moradores. Personagens de um mundo romanesco, no qual suas concepções da vida estão limitadas, de um lado pelos instintos humanos, do outro por um destino cego e fatalista.",Aurora Cinema e República Pureza Filmes ,Drama,26/02/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/a%20hist%C3%B3ria%20da%20eternidade%20-%20web.jpg?itok=eT9SxBNp
O Duelo ,"O Duelo conta a história do comandante Vasco Moscoso de Aragão e de sua agitada chegada à vila de Periperi. Seu charme despertou o carisma da cidade e o despeito do fiscal Chico Pacheco, até então o cidadão mais admirado do local. Desconfiado e enciumado das histórias contadas pelo capitão, Chico resolve investigar sua vida pregressa e o desafia a provar suas habilidades.",Total Entertainment,Comédia,19/03/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/ODuelo.jpg?itok=YHH5IbnK
Insubordinados,"O filme conta a história de Janete. Ela acompanha seu pai, um ex-policial, que está internado no hospital. Em seu tempo livre, escreve compulsivamente e desenvolve uma trama de ação surpreendente.", Felistoque Filmes e Reza Brava filmes,Drama,19/03/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/insubordinados%20cartaz.jpg?itok=giokfjn7
Meus dois amores,"O vaqueiro Manuel vive para seus dois amores, sua noiva Das Dô e a mula Beija-Fulô. Enrolador, ele vende um cavalo defeituoso ao matador Targino, que o jura de morte e anuncia que desonrará sua noiva. Aterrorizado, Manuel recorre aos feitiços de Toniquinho das Pedras, que pede Beija-Fulô como pagamento. Logo, o jovem se vê num dilema: escolher entre a mula e a noiva.",Globo Filmes,Comédia,19/03/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/meusdoisamores.jpg?itok=KBZvh8ul
"Branco sai, preto fica","Dois homens têm sua vida radicalmente mudada após serem atingidos por tiros em um baile black, na periferia de Brasília. Um terceiro homem vindo do futuro aparece para investigar o caso e provar que a culpa é da sociedade repressiva.",Cinco da Norte,Documentário,19/03/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Branco%20Sai%20Preto%20Fica.jpg?itok=aivrfntp
Ponte Aérea,"Amanda é uma publicitária paulista, Bruno um artista plástico carioca. Eles viverão um amor momentâneo, separados pela ponte aérea RJ-SP.",Morena Filmes ,Comédia Romântica,26/03/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Ponte%20A%C3%A9rea.jpg?itok=K4Bk_CAe
"No meio do rio, entre as árvores"," O Documentário é resultado de uma expedição ao Alto Solimões, que ministrou oficinas de vídeo, circo e fotografia às comunidades ribeirinhas dentro de reservas ambientais. O filme é feito por eles, a partir da tecnologia recém-aprendida, numa visão de dentro para fora, sem intérpretes. Do coração da Amazônia para o mundo, ficamos sabendo como é o cotidiano dessas pessoas que habitam rincões remotos do Brasil.",Ideia Forte e TV Navegar,Documentário,26/03/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/no%20meio%20do%20rio%20entre%20as%20%C3%A1rvores.JPG?itok=cc80QUrE
Fala sério,"Daia, Mônica e Lê são amigas inseparáveis. Estudar, trabalhar, rir e chorar, amar e beijar, ser filha e ser mãe, tudo junto e misturado, fala sério, não é fácil! Filmado em Trancoso, no litoral da Bahia, reconstitui o universo local com elenco, paisagens e histórias da região.
",Albatroz Cinema,Comédia,02/04/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Fala%20S%C3%A9rio.jpg?itok=g5TmC8Jg
Uma passagem para Mário,"Uma reflexão sobre as jornadas e os ciclos da vida através de uma viagem que parte de Recife, no Brasil, e atravessa a Bolívia até chegar no deserto do Atacama, Chile. O documentário aborda temas sobre amizade e superação da morte. ",Laurence Filmes,Documentário,06/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.passagem%20para%20mario.jpg?itok=798TXAEM
Made in China ,"Para salvar o comércio da loja de brinquedos onde trabalha e garantir sua clientela, a vendedora Francis decide investigar os chineses da loja concorrente com a ajuda do namorado Carlos Eduardo e da companheira de trabalho Andressa.",Pindorama Filmes e Conspiração Filmes,Comédia,06/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz_MadeinChina_%20Final.jpg?itok=EHzvbkYj
Trinta,"A história do carnavalesco Joãosinho Trinta, o homem que reinventou o carnaval.",Primo Filmes,Drama,13/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.trinta.jpg?itok=X0d0HqXn
Irmã Dulce,Cinebiografia da religiosa baiana que dedicou a vida aos necessitados.,Migdal Filmes,Drama,13/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.irma%20dulce.jpg?itok=95VjwUK6
(O vento lá fora),Um retrato do poeta Fernando Pessoa a partir da leitura de poemas criada pela professora Cleonice Berardinelli e pela cantora Maria Bethânia. ,"Debê Produções, Quitanda e Selo SESC",Documentário,13/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz%20filme%20%28O%20vento%20l%C3%A1%20fora%29.jpg?itok=bcq8IAGB
Boa Sorte,"João é um adolescente de 17 anos que se sente invisível. Judite é uma mulher de 30 anos que já experimentou de tudo. Judite não tem muito tempo de vida e os dois sabem disso. Em uma clínica de reabilitação, eles vivem um amor intenso e transformador.",Conspiração Filmes,Drama,20/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.Boa%20Sorte.jpg?itok=X3exXsHi
Castanha,"João é um ator de 52 anos que vive com sua mãe, Celina. Ele se divide entre a atuação em peças de teatro e filmes, e seu trabalho à noite como transformista em bares gays. Dia após dia, João passa a confundir cada vez mais a realidade que vive com a ficção que interpreta.",Tokyo Filmes ,Drama,20/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/castanha_0.jpg?itok=BQEYpT9t
Ventos de agosto ,"Um estranho pesquisador de som de ventos alísios chega numa pequena vila costeira para pesquisar os ventos fortes e o mar revolto do mês de agosto. Sua chegada tem impacto na relação de dois jovens habitantes da vila, Shirley e Jeison. O filme narra um sutil duelo entre a vida e a morte, a perda e a memória, o vento e o mar.",Desvia Produções,Drama,13/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/ventos%20de%20agosto.jpg?itok=onNHCruX
Os amigos,"Um dia especial na vida de Théo. Pela manhã, ele vai ao funeral de seu melhor amigo de infância. Durante o dia, as lembranças vêm, levando Théo a olhar a vida de uma outra maneira. É Majú, uma amiga por quem tem grande afeição, que o ajudará a recuperar as esperanças.",Dezenove Som e Imagem,Drama,27/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.os%20amigos.jpg?itok=Q_P6Dsxs
O casamento de Gorete,"Gorete, popular apresentadora de rádio, recebe uma inesperada herança de seu pai ausente. Porém, ela só poderá herdar o dinheiro sob uma condição: casar-se. O que poderia ser o sonho de qualquer mulher é, entretanto, um pesadelo para ela, que permanece apaixonada por seu amor de infância. Uma divertida, leve e inspiradora história de amor.",Paisagem Filmes e Europa Filmes,Comédia,27/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.o%20casamento%20de%20gorete.jpg?itok=wGnpq_NU
Brincante,"João Sidurino e Rosalina, das peças Brincante e Segundas Histórias, realizam uma viagem musical por meio de um espetáculo em que todos os elementos da nossa cultura se misturam. O filme apresenta o universo do artista Antônio Nóbrega, cuja obra se caracteriza pela consistente leitura da cultura popular.

",Gullane Entretenimento ,Documentário,04/12/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.brincante.jpg?itok=-81h6p0X
Alguém qualquer,"Jandira, uma garota simples e ingênua do interior, decide virar estrela de cinema e se muda para a casa de seu primo Zé, faxineiro em um prédio luxuoso no centro de São Paulo. Os dois se apaixonam, mas o romance é abalado quando Zé descobre ser portador de uma doença incurável.",Latin American Film Institute,Comédia romântica,04/12/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.Algu%C3%A9m%20qualquer.jpg?itok=kv304EWl
Sopro,"A existência humana e os mistérios da vida e da morte a partir do cotidiano dos habitantes de uma pequena vila rural interiorana. Isoladas, as famílias experimentam uma relação única com a natureza, apequenadas diante da imensidão da paisagem.",Luana Melgaço,Documentário,04/12/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.SOPRO_cartaz.jpg?itok=X76GLNIM
As aventuras do Avião Vermelho,"Quando o pai de Fernandinho, que perdeu a mãe há pouco tempo, dá um livro de sua infância para o filho, o menino descobre o prazer da leitura – e vive uma grande aventura a bordo do Avião Vermelho, na companhia de seus brinquedos favoritos.",Armazém de Imagens,Animação,11/12/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.As%20Aventuras%20do%20Avi%C3%A3o%20Vermelho.jpg?itok=WMWlCcOq
O senhor do labirinto,"A vida do artista Arthur Bispo do Rosário, adaptada do livro “Arthur Bispo do Rosario – O senhor do labirinto”, de Luciana Hidalgo.",Tibet Filme,Drama,11/12/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.O%20Senhor%20do%20Labirinto.jpg?itok=hFz1YVYn
Esse viver ninguém me tira,"A história de Aracy Moebius de Carvalho, brasileira que viveu na Alemanha nazista com seu filho de cinco anos e ajudou vários judeus a emigrarem para o Brasil, sendo conhecida como a “Schindler brasileira”.",Cine Group e Alumiá,Documentário,11/12/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Esse%20viver%20ningu%C3%A9m%20me%20tira.jpg?itok=GI5NkIHW
A história do homem Henry Sobel,"A trajetória de um dos mais intrigantes líderes religiosos do Brasil, desde sua chegada ao país até os dias atuais. O retrato de um homem sábio e religioso, porém complexo e demasiadamente humano.",Twins Bushatsky Produções Cinematográficas,Documentário,11/09/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-Henry%20Sobel.jpg?itok=KyuJU4gr
"Rio, eu te amo ","Cineastas de diferentes nacionalidades filmam histórias de amor, tendo o Rio de Janeiro como cenário.",Conspiração Filmes,Romance,11/09/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-Rio%20Eu%20Te%20Amo.jpg?itok=d_tyBAo4
A balada do provisório,"Dois dias na vida de André Provisório, que ganha uns trocados como detetive particular, aviãozinho e sedutor cara-de-pau. Entre um biscate e outro, conhece Mariana – aspirante a atriz de teatro picareta experimental.",Maria Gorda Filmes ,Comédia romântica,11/09/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz%20a%20balada%20do%20provisorio.jpg?itok=koRGyY1a
Lascados,"Felipe, Burunga e Deco partem da Zona Leste da capital paulista rumo a Salvador, para curtir o carnaval baiano de 1994, numa Kombi dos anos 70. O trio vive inesperadas situações e acaba se envolvendo com Cenilde, jovem manipuladora que coloca em teste a amizade dos rapazes,",Santa Rita Filmes,Comédia,18/09/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-Lascados.jpg?itok=yxRispAf
Isolados,"Lauro e Renata viajam para uma casa na serra, quando Lauro descobre a ocorrência de ataques violentos a mulheres na região. Decidido a esconder as notícias para que Renata não se impressione e, ao mesmo tempo, protegê-la dos assassinos, opta pelo isolamento na casa – mas a situação se torna insustentável. ",Media Bridge,Suspense,18/09/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-Isolados.jpg?itok=v4lO5HrY
Cuba Libre,"O retorno da atriz transexual cubana Phedra de Córdoba, do grupo teatral Satyros, à cidade de Havana, depois de 53 anos sem pisar no seu país. ",Casa Azul e Satyros Cinema,Documentário,18/09/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz%20Cuba%20Libre.jpg?itok=dtrBIVQg
12 de junho de 1993: o dia da paixão palmeirense,"12 de junho de 1993, campeonato Paulista e, coincidentemente, dia dos namorados. Uma data que ficaria cravada na memória dos torcedores palmeirenses: Corinthians x Palmeiras, o que apimentou ainda mais as emoções dos torcedores pela história de rivalidade já conhecida entre os dois times. ",Canal Azul,Documentário,25/09/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz-cinema-91x91-08-09-14-v2.jpg?itok=-5TjuUvC
Jardim Europa,"Numa grande casa do bairro de Jardim Europa, Elenora e seus filhos Luis Felipe, Ana Luiza e Mariana se debatem com as contas e as dívidas. Eleonora se lembra dos velhos carnavais do Rio de Janeiro com o marido, suas filhas estão também presas a esse lugar e a esse estilo de vida. Um dia, Alberto, pai dos filhos de Eleonora, chega depois de anos de ausência e se instala de forma inesperada.",Kashimir,Comédia ,25/09/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz-Jardim-Europa.jpg?itok=fXYSILEc
A pelada ,"Um jovem casal tenta reinventar sua vida sexual em crise, enfrentando situações constrangedoras e cômicas.",Tarantula e WG Produções,Comédia,25/09/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-A%20Pelada.jpg?itok=9wOf27Xu
Sem pena,"Nenhuma população carcerária cresce na velocidade da brasileira, que já é a terceira maior do mundo. O longa desce ao inferno da vida nas prisões brasileiras para expor as entranhas do sistema de justiça do país, demonstrando como morosidade, preconceito e a cultura do medo só fazem ampliar a violência e o abismo social existente.",Heco Produções,Documentário,02/10/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-Sem%20Pena.jpg?itok=fak_PV0W
O candidato honesto,"Corrupto convicto, João Ernesto está prestes a vencer as eleições para a Presidência da República quando sua avó lança uma mandinga poderosa: às vésperas do segundo turno, ele não consegue mais contar nenhuma mentira e se enrola cada vez mais. ",Camisa Listrada e Panorama Filmes,Comédia,02/10/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-candidato-honesto.jpg?itok=Yq_MGDAE
Ritos de passagem,"Dois personagens do sertão nordestino, o Santo e o Guerreiro, são levados pela barca de Caronte após a morte. Por meio dos ritos de passagem – nascimento, batismo, transição da juventude para a idade adulta, casamento, morte e transcendência –, ambos refletirão sobre seus atos e suas escolhas, em resposta aos acontecimentos que a vida lhes reservou.

",Liberato Produções Culturais,Animação,02/10/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/ritos-de-passagem.jpg?itok=0cbcLv5L
Trash – a esperança vem do lixo,"Os jovens Raphael, Gardo e Rato vivem em um lixão. Uma descoberta inesperada os leva para uma aventura vertiginosa, na qual vão precisar de todas as suas habilidades para lutar contra inimigos poderosos.",Working Title,Drama/Aventura,09/10/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-trash.jpg?itok=VsannR2Y
Ilegal,"De um lado, uma menina de 5 anos com uma forma de epilepsia rara, grave e sem cura. Do outro, uma substância derivada da maconha que acaba com as convulsões da criança. Entre as duas, uma lei que torna o tratamento impossível. ",3FilmGroup.tv,Documentário,09/10/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/ILEGAL.jpg?itok=RPL4CbU8
Sementes do nosso quintal,"O cotidiano de uma escola de educação infantil onde a criança está acima de todos as fórmulas de se educar. A natureza, música, arte, conflitos, magia e cultura popular regem o encontro dessas crianças que convivem diariamente entre diferentes faixas etárias.  ",Zinga,documentário,08/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.sementes.jpg?itok=R5hPO71X
Insônia,"Cláudia é uma jovem que vive com seu pai, um cientista genial. Quando decide encontrar uma namorada para ele, acaba se vendo insegura e dividida entre o ciúme e a amizade.",Panda Filmes,Comédia romântica,14/02/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz_Insonia_baixa.jpg?itok=UuMqZySH
Amazônia eterna,"O longa leva o público numa viagem corajosa que, despida de preconceitos, visita e apresenta projetos de sustentabilidade na região Amazônica, inseridos num dos mais ricos e surpreendentes cenários do mundo.

",Giros,Documentário,14/02/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/amazonia-eterna.jpg?itok=RZ4OmIxS
Jogo das decapitações ,"Com pouco tempo pela frente, Leandro tem que finalizar seu mestrado. Em sua pesquisa, o jovem se depara com um filme de Jairo Mendes, que havia sido censurado em 1973, e percebe sua relação com o artista, ao mesmo tempo em que vive as manifestações populares eclodindo nas capitais brasileiras. ",Agravo Produções Cinematográficas,Drama,19/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.%20jogo%20das%20decapitacoes%20low.jpg?itok=pewKjjda
O menino no espelho ,"Fernando é um jovem que deseja ter um clone para realizar todas as tarefas chatas em seu lugar, como ir à escola; até que um dia, o reflexo do jovem deixa o espelho e ganha vida.
",Camisa Listrada,Aventura,19/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.o%20menino%20no%20espelho.jpg?itok=c1Ivcq-z
Tarja Branca,"A expressão “tarja branca”, que dá o nome ao filme, brinca com os medicamentos de ""tarja preta"" e provoca reflexões sobre o lugar do lúdico e do brincar em nossas vidas. Tomar um remédio tarja branca pode ser o reencontro com a criança que mora dentro de todos nós e a aceitação dessa presença na vida adulta.",Maria Farinha Filmes,Documentário,19/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.traja%20branca.jpg?itok=03IXCVtI
Amazônia,A saga de um pequeno macaco-prego domesticado após ser o único sobrevivente de um acidente de avião na maior floresta tropical do planeta.,Gullane Filmes e Biloba Films,Aventura,26/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.Amazonia_0.jpg?itok=iAk06dB6
Coração de leão - o amor não tem tamanho ,"Uma advogada de sucesso recém-divorciada conhece um arquiteto de renome charmoso, mas muito baixo. A partir daí, ela precisa superar uma sociedade implacável e seus próprios preconceitos para prosseguir com a relação.","Sinema, Aleph Media, Telefe, Argentina Sono Film, Patagonik",Comédia romântica,19/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/coracao-de-leao.jpg?itok=-2Zh8O0t
Causa e efeito,"Paulo, ex-policial que perdeu a esposa e o filho em um acidente de carro causado por um motorista alcoolizado, é agora um matador de aluguel em busca de justiça. Porém, quando recebe a proposta para matar uma garota de programa, importantes mudanças acontecem em sua vida. ",Mar Revolto Produções,Drama,03/07/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/causa-e-efeito-poster.jpg?itok=6xTnzo5o
A onda da vida - Uma história de amor e surf,"Os amigos surfistas Joe, Thiago e Jamaica partem para uma viagem do Rio de Janeiro em direção a Itacaré, na Bahia. No meio do caminho, são obrigados a parar no Espírito Santo – e precisam refletir sobre suas próprias vidas, a amizade e o amor. ","AVA Entretenimento, Idéias Ideais",Aventura,03/07/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/a-onda-da-vida-poster.png?itok=XE7Oye2z
Bernardes,"A partir da busca pessoal do arquiteto Thiago Bernardes pela história do avô, o longa traça um retrato emocional da vida de Sergio Bernardes, um dos mais importantes nomes da história da arquitetura no país.",6D e Rinoceronte Produções,Documentário,26/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz%20document%C3%A1rio%20S%C3%A9rgio%20Bernardes.jpg?itok=qJsqAn3y
