title,sinopse,produção,genero,data-lancamento,image
Taego Ãwa,"
	5 fitas VHS encontradas no armário de uma faculdade disparam o desejo desse filme. Anos depois, munidos de mais registros, vamos ao encontro dos Ãwa na Ilha do Bananal. Levamos conosco a memória do desterro ao qual foi exposto o povo Tupi que mais resistiu à colonização no Brasil Central. As imagens foram vistas, sentidas e mais imagens surgiram desse encontro em meio à luta por Taego Ãwa.",F64 filmes/Barroca,Documentário,11/05/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Taego%20%C3%83wa2.png?itok=F8FVzAd8
Pitanga,"
	O documentário investiga o percurso estético, político e existencial do ator Antonio Pitanga que, dirigido por grandes cineastas como Glauber Rocha, Cacá Diegues e Walter Lima Jr., protagonizou os momentos de maior inquietação artística do cinema brasileiro.",Drama Filmes/Gangazumba Produções/Paraguassu Produções,Documentário,06/04/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Pitanga.jpg?itok=u6UFsIIn
"Sinais de cinza, a peleja de Olney contra o dragão da maldade","
	Documentário que busca contar a história de Olney São Paulo trazendo para as telas a dimensão do seu trabalho. Um realizador que morreu durante a ditadura militar, vítima de processos de tortura. O filme trabalha com projeções de obras de Olney em espaços desgastados por onde ele passou ao longo de sua vida, incluindo a sala em que foi torturado até a morte.",Hamaca Filmes,Documentário,23/03/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/sinaisdecinza.jpg?itok=veE8kbHD
Memória em Verde e Rosa,"
	O morro da Mangueira é o cenário onde o compositor Tantinho e antigos sambistas da Estação Primeira vão relembrar histórias sobre a favela e o samba. O documentário retrata os desafios e dilemas que os diversos personagens enfrentam em suas vidas para conquistar respeito na comunidade, reconhecimento na escola e espaço no meio artístico.",Com Domínio Filmes/Formiga Produções Culturais,Documentário,30/03/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz%20Memoria%20Verde%20e%20Rosa.jpg?itok=L9gZJLkH
Intruso,"
	Uma família é obrigada a receber em casa um visitante desconhecido. Todos tentam manter suas vidas normalmente, mas a chegada desse hóspede exige que certas regras sejam seguidas. Ninguém pode deixar a casa. Os membros da família que quebram as regras são punidos e ninguém pode ajudá-los.",Canal Imaginário,Suspense,24/11/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Intruso.jpg?itok=ho0h-GbR
Redemoinho,"
	Esta é a história de dois amigos que se reencontram. Os dois nasceram em Cataguases, Minas Gerais, e passaram toda a infância juntos. Luzimar nunca saiu da cidade e trabalha na fábrica de algodão. Gildo foi para São Bernardo do Campo, São Paulo, onde ele acredita que encontrou o sucesso. Na véspera de Natal, Gildo vem para Cataguases visitar sua mãe. Do encontro, regado a muita bebida, lembranças, remorsos e rancores, duas vidas são reavaliadas.",Bananeira Filmes,Drama,09/02/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Redemoinho.jpg?itok=lh61BAKz
Internet – O Filme,"
	Em uma convenção de youtubers, os personagens entram em vários conflitos uma vez que todos eles estão em busca da fama a qualquer preço.",Paris Entretenimento,Comédia,23/02/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/internet%20o%20filme.jpg?itok=YyEn9GwK
BugiGangue no Espaço,"
	Gustavinho, Fefa e os demais integrantes do clube Bugigangue estão preocupados com os trabalhos da escola, mas nem imaginam que em um ponto distante da galáxia o vilão Gana Golber tomou o poder da Confederação dos Planetas, ameaçando a paz do universo. ",44 Toons ,Animação,23/02/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/BugiGangue%20no%20Espa%C3%A7o.jpg?itok=Jp2lNzH6
A Cidade Onde Envelheço,"
	Teresa é uma jovem portuguesa que decide deixar o país para morar no Brasil. Ela vai direto para a casa de Francisca, uma amiga também portuguesa que, há quase um ano, mora em Belo Horizonte. Por mais que tenha aceitado abrigá-la, Francisca está temerosa sobre como será o convívio entre elas, já que aprecia a solidão e a independência que dispõe. Entretanto, logo o jeito descontraído e espevitado de Teresa a contagia, nascendo uma forte ligação entre elas.",Anavilhana,Drama,09/02/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/A%20Cidade%20Onde%20Envelhe%C3%A7o.jpg?itok=rVrNfz_D
Waiting for B.,"
	O cotidiano de fãs da Beyoncé que acamparam por dois meses na fila do show da cantora em São Paulo, em 2013, na tentativa de de conseguirem um lugar mais próximo de seu ídolo.",Popcon/Videosfera,Documentário,02/03/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Waiting%20for%20B..jpg?itok=jfEZF2az
